Folder,Repository,Languages,Twitter Profiles
"./participantes/0000-golang","github.com/wesleycremonini/rinha-2024-q1","Go,Dockerfile",""
"./participantes/1garo","github.com/1garo/rinha-de-backend-2024-q1-poc","Go,Scala,Dockerfile,Shell","https://twitter.com/1gar_o"
"./participantes/4emcos-golang","github.com/4emcos/rinha-de-backend-2024-q1-golang","Go,PLpgSQL,Dockerfile","https://twitter.com/4emcos"
"./participantes/4emcos-nodejs","github.com/4emcos/rinha-de-backend-2024-q1-nodejs","TypeScript,PLpgSQL,Dockerfile","https://twitter.com/4emcos"
"./participantes/AlcivanLucas","github.com/AlcivanLucas/Rinha-de-backend-2024-q1-NodeJS","HTML,CSS,JavaScript,TypeScript,Dockerfile",""
"./participantes/AlcivanLucas","github.com/jackc/pgx","Go,HTML,Shell,Ruby",""
"./participantes/BrayaOrtega","github.com/BrenonOrtega/rinha-backend-q1-2024-dotnet","HTML,CSS,JavaScript,C#",""
"./participantes/ELESBAO","github.com/richhh7g/rinha-de-backend-2024","TypeScript,Dockerfile,JavaScript,PLpgSQL",""
"./participantes/Edmar-Sousa","github.com/Edmar-Sousa/rinha-backend-2024q1","PHP,Scala,Shell,Dockerfile",""
"./participantes/Fabricio-net8","github.com/FabricioCoimbra/rinha2024q1","HTML,CSS,JavaScript,C#,PLpgSQL,Batchfile,Dockerfile","https://twitter.com/ffabriicioo"
"./participantes/FaelLima98","github.com/FaelLima98/rinha2024Q1s","Failed to fetch languages for repository: github.com/FaelLima98/rinha2024Q1s (HTTP 404)","https://twitter.com/faelxzx"
"./participantes/KitsuneSemCalda","github.com/KitsuneSemCalda/Rinha-2024-Q1-Go","Go,Dockerfile","https://twitter.com/KitsuneSemCalda"
"./participantes/KitsuneSemCalda","github.com/gorilla/mux","Go,Makefile","https://twitter.com/KitsuneSemCalda"
"./participantes/LuisKpBeta","github.com/LuisKpBeta/rinha-de-backend-2024-submission","C#,Makefile,Dockerfile","https://twitter.com/kpbeta"
"./participantes/NathanFirmo","github.com/NathanFirmo/rinha-de-backend-2024-q1","Go,Dockerfile",""
"./participantes/PatrickChagastavares","github.com/jackc/pgx","Go,HTML,Shell,Ruby",""
"./participantes/PatrickChagastavares","github.com/PatrickChagastavares/rinha-backend-2024","Go,PLpgSQL,Makefile,Dockerfile",""
"./participantes/PedroHenriquevr","github.com/PedroHenriquevr/rinha-rust","HTML,CSS,JavaScript,Scala,Rust,Shell,Dockerfile","https://twitter.com/pedro_hvrr"
"./participantes/Vagnerlg","github.com/Vagnerlg/rinhabackend-","Java,Dockerfile","https://twitter.com/Vagnergongon"
"./participantes/abel-golang","github.com/guilhermeabel/rinha-q1-go-api","Go,PLpgSQL,Dockerfile",""
"./participantes/abraaolevi","github.com/abraaolevi/rinha-de-backend-2024-q1-go","Go,Scala,PLpgSQL,Shell,Dockerfile",""
